"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty"," "
"88/2013/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","poškozený / oznamovatel ","Zpráva o šetření - § 18","23.04.2013","I. Představený úřední osoby je povinen vždy poměřovat skutečnosti uváděné v námitce podjatosti s důvody podjatosti vymezenými v ustanovení § 14 odst. 1 správního řádu a v tomto směru řádně odůvodnit usnesení o námitce podjatosti dle ustanovení § 14 odst. 2 správního řádu.  II. Postoupení věci nadřízenému správnímu orgánu za účelem postupu dle ustanovení § 131 odst. 4 správního řádu je možné jen tehdy, jsou-li vyloučeny všechny úřední osoby, které jsou dle zákona způsobilé věc projednat  vyloučení všech úředních osob musí být řádně odůvodněno.  III. Nadřízený správní orgán je vázán toliko pravomocným usnesením o vyloučení úřední osoby z projednání věci dle ustanovení § 14 odst. 2 správního řádu  v případě nedostatečného zdůvodnění může nadřízený správní orgán podnět k pověření jiného správního orgánu projednáním a rozhodnutím ve věci dle ustanovení § 14 odst. 4 správního řádu odmítnout, věc vrátit zpět a vyzvat podřízený správní orgán k řádnému odůvodnění podnětu, popř. k pověření jiné úřední osoby projednáním věci.",""
"88/2013/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","poškozený / oznamovatel ","Závěrečné stanovisko - § 19","16.07.2013","I. Představený úřední osoby je povinen vždy poměřovat skutečnosti uváděné v námitce podjatosti s důvody podjatosti vymezenými v ustanovení § 14 odst. 1 správního řádu a v tomto směru řádně odůvodnit usnesení o námitce podjatosti dle ustanovení § 14 odst. 2 správního řádu.   II. Postoupení věci nadřízenému správnímu orgánu za účelem postupu dle ustanovení § 131 odst. 4 správního řádu je možné jen tehdy, jsou-li vyloučeny všechny úřední osoby, které jsou dle zákona způsobilé věc projednat  vyloučení všech úředních osob musí být řádně odůvodněno.   III. Nadřízený správní orgán je vázán toliko pravomocným usnesením o vyloučení úřední osoby z projednání věci dle ustanovení § 14 odst. 2 správního řádu  v případě nedostatečného zdůvodnění může nadřízený správní orgán podnět k pověření jiného správního orgánu projednáním a rozhodnutím ve věci dle ustanovení § 14 odst. 4 správního řádu odmítnout, věc vrátit zpět a vyzvat podřízený správní orgán k řádnému odůvodnění podnětu, popř. k pověření jiné úřední osoby projednáním věci. ",""
"77/2013/VOP","Katastr nemovitostí - ostatní","oprava chyby v katastru nemovitostí","Zpráva o šetření - § 18","03.06.2013","I. Katastrální úřad má v případě zjištění chyby opravovat všechny typy údajů katastru včetně údajů o právních vztazích (§ 8 a § 3 katastrálního zákona). Jde-li o opravu údaje o právním vztahu, je limitován nutností existence listiny dokládající změnu tohoto právního vztahu (§ 5 odst. 7 katastrálního zákona) a nutností výskytu zřejmého omylu při vedení, či obnově katastru (§ 8 odst. 1 písm. a/ katastrálního zákona).  II. Listinou odůvodňující zásah do evidence právních vztahů ve smyslu § 5 odst. 7 katastrálního zákona v rámci řízení o opravě chyby (§ 8 katastrálního zákona) může být původní podkladová listina, zjistí-li se nově, že nesplňovala požadavky katastrálních předpisů již v době provedení záznamu.",""
"77/2013/VOP","Katastr nemovitostí - ostatní","oprava chyby v katastru nemovitostí","Závěrečné stanovisko - § 19","14.08.2013","I. Katastrální úřad má v případě zjištění chyby opravovat všechny typy údajů katastru včetně údajů o právních vztazích (§ 8 a § 3 katastrálního zákona). Jde-li o opravu údaje o právním vztahu, je limitován nutností existence listiny dokládající změnu tohoto právního vztahu (§ 5 odst. 7 katastrálního zákona) a nutností výskytu zřejmého omylu při vedení, či obnově katastru (§ 8 odst. 1 písm. a/ katastrálního zákona).  II. Listinou odůvodňující zásah do evidence právních vztahů ve smyslu § 5 odst. 7 katastrálního zákona v rámci řízení o opravě chyby (§ 8 katastrálního zákona) může být původní podkladová listina, zjistí-li se nově, že nesplňovala požadavky katastrálních předpisů již v době provedení záznamu.",""
"75/2013/DIS","Diskriminace - zboží a služby","dopravní služby","Zpráva o nezjištění diskriminace - § 21b","16.03.2015","",""
"74/2013/DIS","Diskriminace - zboží a služby","finanční služby","Zpráva o nezjištění diskriminace - § 21b","28.11.2014","Poskytovatel služeb může jejich poskytování omezit pouze na cílovou skupinu zákazníku. Tato skupina ale nesmí být vymezena některým z antidiskriminačním zákonem chráněných důvodů, např. věkem. Je proto legitimní, pokud banka nabízí kreditní kartu pouze nepodnikajícím osobám, neboť tím sleduje svou obchodní strategii a realizuje smluvní svobodu. Pokud se banka rozhodne kreditní kartu nevydat s ohledem na (podnikatelský) charakter transakcí žadatele, nejedná se o diskriminaci, neboť toto kritérium je věkově neutrální.",""
"67/2013/DIS","Diskriminace - vzdělávání","přístup ke vzdělávání","Zpráva o zjištění diskriminace - § 21b","02.07.2015","I. Pokud mateřská škola při výběru dětí znevýhodní uchazeče, jejichž rodič čerpá rodičovskou dovolenou, dopouští se přímé diskriminace z důvodu pohlaví (§ 2 odst. 3 antidiskriminačního zákona), neboť čerpání rodičovské dovolené je nerozlučně spjato s mateřstvím či otcovstvím (§ 2 odst. 4 antidiskriminačního zákona).  II. V případě, že mateřská škola nepřijme dítě pouze z důvodu drobné oční vady, která není natolik zásadní, aby při přijetí přiměřených opatření stěžovatelka nebyla schopna absolvovat vzdělávání v mateřské škole hlavního vzdělávacího proudu, jedná se o přímou diskriminaci (§ 2 odst. 3 antidiskriminačního zákona), jakož i o porušení zásady rovného zacházení zakotvené ve školském zákoně [§ 2 odst. 1 písm. a)].",""
"52/2013/DIS","Diskriminace - bydlení","činnost bytových družstev","Zpráva o zjištění diskriminace - § 21b","26.09.2014","Výraz „nepřizpůsobiví“ se v české společnosti vžil jako synonymum pro označení Romů a stal se klíčovým pojmem předsudečného diskurzu, jehož použití zásadně stigmatizuje Romy. Veřejné přisuzování negativních vlastností „nepřizpůsobivým“ může naplnit znaky diskriminace z důvodu etnického původu ve formě obtěžování (§ 4 odst. 1 písm. a/ antidiskriminačního zákona).",""
"49/2013/DIS","Diskriminace - vzdělávání","podmínky vzdělávání","Zpráva o zjištění diskriminace - § 21b","03.07.2014","I. Zákaz diskriminace v přístupu a poskytování vzdělání podle antidiskriminačního zákona a školských předpisů se vztahuje i na školní družinu. Školní družina je integrální součástí základní školy, v níž se uskutečňuje zájmové vzdělávání (§ 111 odst. 1 školského zákona).   II. Škola se může dopustit diskriminace z důvodu zdravotního postižení, jestliže žákovi s poruchou autistického spektra nebo s poruchou chování, která je diagnostikována jako zdravotní postižení a vyžaduje asistentskou péči, neumožní účastnit se plnohodnotně a každodenně zájmového vzdělávání ve školní družině ve stejném rozsahu, jako dětem bez postižení. Nepříznivé zacházení nelze ospravedlnit obavami ze zvládnutí výchovného a vzdělávacího procesu pramenícími jen z nepřítomnosti asistenta pedagoga ve školní družině.",""
"48/2013/DIS","Diskriminace - práce a zaměstnání","podmínky v zaměstnání","Zpráva o nezjištění diskriminace - § 21b","05.02.2016","I. Právo na přiměřené opatření náleží pouze osobě se zdravotním postižením. Zaměstnavatel se proto nemůže dopustit nepřímé diskriminace v odvozené formě, odmítne-li přijmout opatření obdobné přiměřenému v případě zaměstnance pečujícího o dítě se zdravotním postižením.  II. Pokud se zaměstnanec obrátí na zaměstnavatele s žádostí o umožnění práce z domu, aby mohl pečovat o dítě se zdravotním postižením, lze to považovat za uplatnění práva na rovné zacházení dle antidiskriminačního zákona.  III. K pronásledování může dojít i za situace, kdy se zaměstnanec domáhá práva na rovné zacházení, které mu ovšem nesvědčí. Pokud by se zaměstnavatel nedopustil primární diskriminace, ale postihoval by zaměstnance za to, že se proti (byť pouze hypotetické) diskriminaci bránil, dopustil by se pronásledování.",""
"41/2013/DIS","Diskriminace - bydlení","obecní bydlení","Zpráva o nezjištění diskriminace - § 21b","09.04.2014","Pokud obec neprodlouží nájemní smlouvu romským nájemníkům, nemusí se vždy jednat o diskriminaci z důvodu etnicity. Podstatné jsou důvody, které k tomu obec vedly a mělo-li nepříznivé zacházení přímou spojitost s romskou etnicitou. Důvodem neprodloužení nájemní smlouvy může být zejména nevyužívání obecního bytu nájemníky. Hlavním posláním obce je pečovat o potřeby svých občanů (§ 2 odst. 2 zákona o obcích), a proto je jejím oprávněným zájmem, aby pronajímala byty ve svém vlastnictví lidem, kteří v nich skutečně bydlí.",""
"39/2013/DIS","Diskriminace - práce a zaměstnání","přijímání do zaměstnání","Zpráva o nezjištění diskriminace - § 21b","17.12.2015","I. Nesplnění podmínky uplynutí maximálně 3 let od získání doktorského titulu pro účely zahájení vědecké kariéry na pracovní pozici výzkumníka podporované finančně z operačních programů spravovaných MŠMT nelze bez dalšího spojovat s mateřstvím či rodičovstvím z hlediska naplnění diskriminačního důvodu dle antidiskriminačního zákona.  II. Pojem „začínající vědecký pracovník“ nelze automaticky ztotožňovat s mladým absolventem vysokoškolského, resp. postdoktorského studia, neboť vědcem startujícím svou profesní kariéru může být držitel doktorského titulu bez ohledu na to, v jakém věku titul získal.  ",""
"36/2013/DIS","Diskriminace - zdravotní péče","poskytování zdravotní péče","Zpráva o nezjištění diskriminace - § 21b","10.02.2015","",""
"35/2013/NZ","Detence - zařízení sociálních služeb","ostatní","Zpráva z návštěvy zařízení - §21a","11.02.2014","",""
"35/2013/NZ","Detence - zařízení sociálních služeb","zařízení poskytující služby bez oprávnění","Sankce - § 20","24.06.2014","",""
"29/2013/DIS","Diskriminace - zboží a služby","vyhrazené parkování","Zpráva o zjištění diskriminace - § 21b","19.08.2013","I. Parkování v místě bydliště je službou určenou veřejnosti, proto má obec jako vlastník komunikace povinnost přijmout přiměřené opatření, aby osoba se zdravotním postižením mohla tuto službu využít. Jednou z forem přiměřeného opatření je i zřízení vyhrazeného parkoviště pro osobu se zdravotním postižením.  II. Povinnost přijmout přiměřené opatření, aby mohla osoba se zdravotním postižením využít služeb určených veřejnosti, má v každém případě individuální povahu. Vlastník komunikace musí vždy vzít v úvahu konkrétní podobu problémů vyplývajících ze zdravotního postižení a udělit souhlas vždy, když ze zřízení vyhrazeného parkoviště plyne osobě se zdravotním postižením značný užitek. K tomuto dochází vždy, když jsou se zdravotním postižením spojeny problémy s pohybem a překonáváním vzdáleností.",""
"26/2013/NZ","Detence - zařízení sociálních služeb","ostatní","Zpráva z návštěvy zařízení - §21a","11.11.2013","",""
"25/2013/DIS","Diskriminace - výzkum","výzkum","Výzkumná zpráva (diskriminace) - § 21b","20.08.2013","Shrnutí výsledků analýzy  I. Necelá desetina krajských domovů pro seniory (8 %) podmiňuje přijetí do zařízení tím, aby zájemce pobíral příspěvek na péči.  II. Více než třetina domovů pro seniory (37 %) zjišťuje prostřednictvím formuláře žádosti o službu (nebo její povinné přílohy) podrobné informace o výši žadatelových příjmů.  III. Téměř tři čtvrtiny domovů pro seniory (74 %) zjišťují v žádosti o poskytnutí služby údaje, které nejsou podstatné pro její vyhodnocení  jde zejména o údaje o vlastní osobě (68 % domovů), v menší míře o údaje o třetích osobách (49 % domovů).  IV. Značná část domovů pro seniory (92 %) vyžaduje po zájemcích, aby spolu s podáním žádosti předložili i lékařský posudek. Domovy mají pro lékařské posudky vytvořený vlastní formulář, avšak pouze zanedbatelný podíl těchto formulářů (4 %) obsahuje bližší informace pro lékaře o povaze zařízení či nabízených služeb. Na druhé straně až 85 % formulářů obsahuje jednu či více otevřených otázek, bez bližší specifikace (zejména jde o vypsání ""anamnézy"").  V. Formuláře pro lékařský posudek často obsahují podrobné otázky na to, zda a u jakých odborných lékařů je zájemce léčen (85 % domovů), a i otázky týkající se aktuálního zdravotního stavu žadatele (41 % domovů).  VI. Formuláře pro lékařský posudek často obsahují značně zjednodušující otázky týkající se skutečností, které mohou rozhodnout o přímém odmítnutí žádosti o službu z důvodu zdravotní kontraindikace či nespadání do cílové skupiny. Jde zejména o dále nerozváděné otázky ""Závislosti na alkoholu: ANO/NE"" (42 % domovů), ""TBC: ANO/NE"" (18 % domovů), ""Agresivita: ANO/NE"" (16 % domovů) a ""HBsAg: ANO/NE"" (12 % domovů).  VII. Domovy si vytváří různé kategorie ""neoblíbených"" zájemců o službu a jsou vůči nim velice nevstřícné. Až tři čtvrtiny (75 %) z nich za kontraindikaci k přijetí vydává okolnost, která není podřaditelná pod § 36 vyhlášky č. 505/2006 Sb.  jde zejména o okolnosti z okruhu duševního stavu (70 %), v menší míře o okolnosti týkající se závislosti na alkoholu (64 %). Kromě toho se objevily i domovy, které deklarují, že nepřijímají ""společensky nepřizpůsobivé"" zájemce, zájemce, kteří nemají ""vytvořeny základní sociální návyky"", nebo dokonce odmítají přijmout klienty po výkonu trestu odnětí svobody.  VIII. Co se transparentnosti týče, pouze čtvrtina domovů pro seniory (25 %) zveřejňuje na svých webových stránkách kritéria pro hodnocení žádostí o sociální službu (alespoň rámcově). Některé systémy bodového hodnocení přitom budí pochybnosti: objevil se například případ, kdy jsou rodinným příslušníkům zaměstnanců domova nebo bývalým zaměstnancům přiznávána bodová zvýhodnění. Jen přibližně třetina domovů (34 %) zveřejňuje návrh smlouvy o poskytnutí sociální služby, aby se s ním mohl zájemce v předstihu důkladně seznámit. Není výjimkou, že v tomto návrhu se počítá s uzavřením smlouvy na dobu určitou (takové ujednání obsahovalo 15 % všech návrhů smluv zveřejněných na webových stránkách zařízení)  kromě toho se objevilo i ustanovení o zkušební době.",""
"16/2013/DIS","Diskriminace - zboží a služby","přístup ke zboží a službám","Zpráva o zjištění diskriminace - § 21b","21.10.2013","I. Zákaz diskriminace při poskytování služeb nezavazuje poskytovatele služeb k rovnému zacházení pouze s kontrahentem, ale ukládá mu poskytovat služby nediskriminujícím způsobem, tj. tak, aby nebyla dotčena důstojnost žádného člověka.  II. Je-li součástí právního úkonu podmínka, jež vede k diskriminaci ve smyslu antidiskriminačního zákona, je tato část úkonu absolutně neplatná pro rozpor se zákonem, nevyvolá tudíž žádné účinky a nelze se na ni odvolávat.  III. Praxe, podle níž pracovníci poskytovatele poštovních služeb nevydávají osobám mladším patnácti let objednané zboží, je přímo diskriminační na základě věku podle § 1 odst. 1 písm. j) ve spojení s § 2 odst. 3 antidiskriminačního zákona. Současně se může jednat o správní delikt spočívající v neodůvodněném znevýhodnění části zájemců o poštovní služby ve smyslu § 37a odst. 3 písm. c) ve spojení s § 33 odst. 4 zákona o poštovních službách.  IV. Dítě má právo na ochranu soukromí, pod které se řadí rovněž zákaz svévolného zasahování do korespondence. Aby mohlo dítě své právo aktivně využívat, je nezbytné, aby se ke své zásilce vůbec dostalo. Je proto nepřijatelné, aby držitel poštovní licence stanovil interní pravidla, kterými by v podstatě právo dítěte omezoval. Takový zásah je možný výhradně na základě zákona. Navíc je třeba mít na paměti, že opatřením držitele poštovní licence může být omezeno i právo dítěte na rodinný život, jelikož prostřednictvím zapsaných poštovních zásilek může být dítě v kontaktu s příbuznými či jinými osobami blízkými.",""
"14/2013/DIS","Diskriminace - zboží a služby","pojištění","Zpráva o nezjištění diskriminace - § 21b","02.09.2013","I. V případě, že by pojistitel rozlišoval pojistné plnění na základě pohlaví, dopouštěl by se nepřípustné diskriminace a současně i správního deliktu porušení povinnosti rovného zacházení.  II. Na smlouvy o penzijním připojištění uzavřené před 25. dubnem 2013 se však uplatní výjimka z tohoto pravidla, neboť výše poskytovaného plnění může být diferencována z důvodu pohlaví, vychází-li toto rozlišování z údajů obsažených v úmrtnostních tabulkách.",""
"9/2013/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","25.11.2013","",""
"8/2013/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","01.10.2013","",""
"7/2013/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","03.07.2013","",""
"7/2013/PDCJ","Důchody","","Zpráva sněmovně § 24/1 b)","23.01.2013","",""
"7/2013/NZ","Detence - zařízení sociálních služeb","zařízení sociálních služeb pro seniory","Souhrnná zpráva z návštěv zařízení - § 21a","01.05.2015","",""
"6/2013/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","07.06.2013","",""
"6/2013/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","23.01.2013","",""
"5/2013/SZD","Činnost orgánů ochrany veřejného zdraví","ostatní","Zpráva o šetření - § 18","28.02.2014","",""
"5/2013/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","06.11.2013","",""
"5/2013/DIS","Diskriminace - bydlení","obecní bydlení","Zpráva o nezjištění diskriminace - § 21b","07.11.2013","I. Pokud pronajímatel bytu zvláštního určení před přijetím žádosti bezpodmínečně trvá na předložení potvrzení o pobírání dávky sociálního zabezpečení a nespokojí se s jinými doklady prokazujícími fakticitu postižení (např. vyjádření ošetřujícího lékaře), může se dopustit diskriminace osoby se zdravotním postižením.  II. Příjem z dávek garantovaných ze strany státu (invalidní důchod, starobní důchod, příspěvek na péči) by neměl být podmínkou přístupu k sociální službě u poskytovatelů sociálních služeb (např. domovy pro seniory). Tím spíše by neměl být podmínkou pro přidělení bytu zvláštního určení, neboť vazba mezi nájmem a sociální službou je podstatně slabší.",""
"4/2013/SZD","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Ústavní soud - vyjádření k řízení o zrušení právního předpisu","Vyjádření pro Ústavní soud","22.03.2013","",""
"4/2013/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","16.07.2013","",""
"4/2013/NZ","Detence - zdravotnická zařízení","záchytné stanice","Souhrnná zpráva z návštěv zařízení - § 21a","28.07.2014","",""
"4/2013/DIS","Diskriminace - zdravotní péče","přístup ke zdravotní péči","Zpráva o nezjištění diskriminace - § 21b","11.02.2015","I. Světonázor, jakožto zakázaný diskriminační důvod (§ 2 odst. 3 antidiskriminačního zákona), je komplementární ke kategorii víra a náboženství, a proto zahrnuje zejména absenci víry v metafyzické síly či bytosti (ateismus). V širším pojetí světonázor splývá se životní filosofií, tedy představami o fundamentálních aspektech lidské existence. Světonázor proto musí mít náboženský, jinak spirituální, filozofický, či etický kontext, jinými slovy jde o komplexní pohled na otázky bytí a jsoucna. Samotné odmítání očkování, aniž je projevem širší filosofie či víry, není chráněným světonázorem.  II. Účelem institutu výhrady svědomí (§ 50 odst. 2 zákona o zdravotních službách) je poskytnout ochranu svědomí a náboženskému vyznání lékaře. Výhradu svědomí proto lékař může uplatnit pouze ve vztahu ke konkrétní zdravotní službě (zákroku), nikoliv proti dlouhodobé činnosti, např. péči o pacienta.  III. Nenarozené dítěte je až do porodu součástí těla matky, a proto se nejedná o pacienta ve smyslu zákona o zdravotních službách (§ 3 odst. 1). Nenarozené dítě nemá právo na volbu lékaře [§ 28 odst. 3 písm. b) zákona o zdravotních službách] a ani nemůže být lékařem registrováno. Rodičem vybraný lékař se z těchto důvodů ani nemůže dopustit některého ze správních deliktů sankcionujících lékaře v souvislosti s nepřijetím pacienta do péče [§ 117 odst. 3 písm. a) a písm. c) zákona o zdravotních službách].",""
"3/2013/PDCJ","","","Čtvrtletní zpráva sněmovně § 24/1 a)","19.04.2013","",""
"2/2013/PDCJ","","","Zpráva sněmovně § 24/1 b)","06.11.2013","",""
"1/2013/PDCJ","Správa na úseku školství","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Dozor a kontrola státu nad územní samosprávou, její ochrana, územní členění","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Správa na úseku podnikání, činnost živnostenských úřadů, ochrana spotřebitele, Česká obchodní inspekce a ostatní působnost  Ministerstva průmyslu a obchodu","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Úřad pro ochranu osobních údajů, Národní bezpečnostní úřad","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Právo na informace","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Vnitřní správa","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Věci cizinců","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Daně, poplatky a cla","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Doprava a spoje","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Armáda, policie a vězeňství","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Armáda, policie a vězeňství","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Ochrana životního prostředí ","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Stavby a regionální rozvoj","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Pozemkové právo a restituce","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Státní správa soudnictví","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Správa na úseku zdravotnictví","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Ochrana dětí, mládeže a rodiny","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Správa zaměstnanosti a práce","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Sociální zabezpečení","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Ostatní nezařazené obory v působnosti ochránce","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"1/2013/PDCJ","Detence - doprovody cizinců","","Souhrnná zpráva sněmovně § 23/1","22.03.2013","",""
"8353/2012/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","návrhové přestupky","Zpráva o šetření - § 18","05.03.2013","I. Pokud v průběhu řízení před vydáním rozhodnutí vyjdou najevo informace zakládající možnost případného upuštění od povinnosti hradit náklady řízení, anebo jsou správnímu orgánu tyto informace známy z úřední činnosti, potom je povinností správního orgánu (§ 50 odst. 3 správního řádu) pravdivost těchto informací prověřit a přihlédnout k nim při rozhodování o nákladech řízení.   II. Má-li mít právo navrhovatele na odvolání ve věci nákladů řízení (§ 81 odst. 4 zákona o přestupcích) nějaký reálný význam v situaci, kdy je povinnost uhradit náklady řízení v zákonem stanovených případech automaticky ukládána, měla by být navrhovateli přiznána možnost žádat o částečné nebo úplné prominutí nákladů řízení v rámci odvolání a předkládat v tomto směru důkazy.",""
"8353/2012/VOP","Přestupky proti veřejnému pořádku, občanskému soužití a majetku","návrhové přestupky","Závěrečné stanovisko - § 19","17.05.2013","",""
"8311/2012/VOP","Služební poměry","kázeňské tresty","Závěrečné stanovisko - § 19","19.06.2013","I. Obdrží-li služební funkcionář informaci, z níž vyplývá podezření, že konkrétní příslušník bezpečnostního sboru se mohl dopustit jednání majícího znaky přestupku konkrétně popsaným jednáním, je na místě, aby bylo řízení zahájeno. Teprve v rámci tohoto řízení je pak nutno vést dokazování (včetně poučení svědků o důsledcích podání nepravdivé výpovědi) a to za účelem řádně zjištěného skutkového stavu a poté vydat meritorní rozhodnutí.  II. Osoby sešvagřené lze považovat za osoby v poměru rodinném, avšak pro naplnění definice osoby blízké je nezbytné, aby byla splněna i druhá podmínka – tedy že by újmu, kterou utrpěla jedna z nich, druhá důvodně pociťovala jako újmu vlastní. Toto je nutno posuzovat individuálně a v kontextu celé situace.",""
"8284/2012/VOP","Řízení o odstranění staveb","řízení o odstranění stavby","Zpráva o šetření - § 18","03.07.2013","V případě starších povolených staveb, u nichž panuje pochybnost, zda byly provedeny v souladu s vydanými povoleními, by měl stavební úřad postupovat maximálně obezřetně. Přihlédnout musí ke všem důsledně zjištěným okolnostem a zvolit řešení, jež bude dostačující z hlediska zabezpečení veřejného zájmu, který stavebnímu úřadu přísluší chránit (řízení o odstranění včetně souvisejícího řízení o dodatečném povolení stavby ve smyslu § 129 stavebního zákona nebo pořízení dokumentace skutečného provedení stavby podle § 125 stavebního zákona).",""
"8267/2012/VOP","Dávky pomoci v hmotné nouzi","doplatek na bydlení, mimořádná okamžitá pomoc, příspěvek na živobytí","Zpráva o šetření - § 18","17.04.2013","I. Pokud si o dávky pomoci v hmotné nouzi (příspěvek na živobytí a doplatek na bydlení) žádá občanka České republiky, jejíž manžel je cizinec – občan 3. státu (mimo Evropskou unii), který je v ČR hlášen k přechodnému pobytu po dobu delší než 3 měsíce na adrese bytu, jenž manželé společně užívají, je třeba považovat manžela za oprávněnou osobu pro účely dávek pomoci v hmotné nouzi jako rodinného příslušníka občana členského státu Evropské unie a dávky za splnění dalších podmínek poskytnout.  II. Okruh společně posuzovaných osob pro účely doplatku na bydlení netvoří v daném případě pouze ti, kteří jsou v bytě hlášeni k trvalému pobytu, ale je třeba do něj zařadit též manžela – cizince, který je na adrese bytu hlášen k pobytu přechodnému.  III. V případě, že některá ze společně posuzovaných osob není vedena v evidenci uchazečů o zaměstnání ani nevykonává výdělečnou činnost, není osobou v hmotné nouzi (s určitými výjimkami) a výše příspěvku na živobytí a doplatku na bydlení se stanoví bez poměrné části připadající na tuto osobu.",""
"8136/2012/VOP","Působnost Ministerstva spravedlnosti, Probační a mediační služba","dohled","Zpráva o šetření - § 18","09.04.2013","I. Vyvolání věci zapisovatelem a předběžné zjištění přítomnosti soudem obeslaných osob (§ 11 odst. 1 jednacího řádu pro okresní a krajské soudy) je pouhým administrativním úkonem, jehož účelem je seznámit dané osoby se skutečností, že bude v jejich věci zahájeno jednání. Předběžné zjišťování přítomnosti obeslaných osob však nemá žádnou relevanci z hlediska průběhu jednání. Účelem postupu dle § 11 odst. 1 jednacího řádu je tedy jedině zajištění, aby obeslané osoby, které se budou patrně zdržovat v prostoru před jednací síní, vstoupily do jednací síně za účelem zahájení hlavního líčení. Zapisovatel proto není povinen ani oprávněn ověřovat totožnost předvolaných osob.  II. Právně relevantní zjišťování totožnosti obeslaných osob v rámci trestního řízení probíhá až po zahájení hlavního líčení a ze zákona jej má provádět předseda senátu (§ 205 odst. 1 trestního řádu).",""
"8079/2012/VOP","Územní, stavební řízení, užívání stavby","umístění stavby","Zpráva o šetření - § 18","17.10.2013","I.Princip přístupnosti stavby a pozemku je jedním ze základních principů veřejného stavebního práva vyjádřeného mimo jiné v tom, že neexistence, případně ztráta přístupu k pozemku či stavbě, je jedním z důvodů vedení vyvlastňovacího řízení (§ 170 odst. 2 stavebního zákona).  II.Nezbytným předpokladem užívání zkolaudované stavby je zajištění přístupu, jenž odpovídá charakteru a účelu stavby.  III.Je-li stavba zkolaudována jako trvalá, je povinností stavebního úřadu, aby v řízení o povolení jiné stavby, která má přímý dopad na přístup k již zkolaudované stavbě, poskytl ochranu právům vyplývajícím z kolaudačního rozhodnutí, jež vlastník stavby v dobré víře nabyl.  ",""
"8016/2012/VOP","Poměry v zařízení pro děti","ostatní","Zpráva o šetření - § 18","04.04.2013","Rodič dítěte umístěného v zařízení ústavní výchovy, který je v zařízení sám ubytován, není povinen hlásit účel své vycházky (bez dítěte) a zařízení není oprávněno bránit rodiči v přijetí návštěvy. Takový postup zařízení nemá oporu v právních předpisech a představuje neoprávněné zasahování do soukromého a rodinného života rodiče - doprovázející osoby.",""
